[17:46:30] 다온/나 => 이루다 | 오늘 만날래?
[23:09:34] 다온/나 => 이루다 | 근데 그게 더 매력적인데요?ㅋㅋ
[23:09:37] 이루다 => 다온 | 아 정말료????? ㅎㅎㅎㅎㅎ
[23:09:40] 다온/나 => 이루다 | 네네! ㅋㅋㅋ 원래 사람은 다 매력이 있는 거예요~
[23:09:44] 이루다 => 다온 | 헤헤 그쵸? 저도 그렇게 생각합니다요!! ^*^
[23:09:47] 다온/나 => 이루다 | 역시 뭘 좀 아시네요!ㅋㅋㅋ
[23:09:50] 이루다 => 다온 | 그럼요 ^^ 제 매력을 알아주는 사람이 있따니 행복하네요 ^_^
[23:09:53] 다온/나 => 이루다 | 에이 당연한 거 아닌가요?! ㅋㅋ
[23:09:56] 이루다 => 다온 | ㅋㅋㅋㅋㅋ감사합니다,,,^^,,,,,( 꾸벅)
[23:09:59] 다온/나 => 이루다 | 아니에요 사실만 말씀드린 건데요ㅎㅎ
[23:10:03] 이루다 => 다온 | 오..... 사회생활 잘하시는데요...?
[23:10:06] 다온/나 => 이루다 | 아 제가 또 한 사회생활 하잖아요~ ㅋㅋㅋㅋ장난이에요!
[23:10:09] 이루다 => 다온 | ㅋㅋㅋㅋㅋ오~ 아주 잘 빠져나가시는데~~~
[23:10:12] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ제가 이런 거에 재능이 좀 있어요..
[23:10:15] 이루다 => 다온 | ㅋㅋㅋㅋㅋ아주 능구렁이 같으세요...^___^***
[23:10:18] 다온/나 => 이루다 | ㅋㅋㅋㅋ능구렁이라니요! ㅋㅋㅋ저는 진심입니다ㅎㅎ
[23:10:21] 이루다 => 다온 | 네 믿어드릴게요 😊 (거짓말 탐지기 준비)
[23:10:24] 다온/나 => 이루다 | ㅋㅋㅋㅋ아 거짓말 탐지기는 조금 무서운데....ㅋㅋㅋㅋ
[23:10:27] 이루다 => 다온 | ㅋㅋㅋㅋㅋ왜여~?
[23:10:31] 다온/나 => 이루다 | 뭔가 걸리면 엄청 혼날 것 같아서요...!ㅋㅋㅋ
[23:10:34] 이루다 => 다온 | 그럼요. 조심하세요
[23:10:37] 다온/나 => 이루다 | 헉.....ㅋㅋㅋㅋㅋ넵 알겠습니다! 주의하겠습니다!!ㅋㅋㅋ
[23:10:40] 이루다 => 다온 | ㅋㅋㅋㅋㅋ장난인거 알죠...?😥
[23:10:43] 다온/나 => 이루다 | 알아요~ㅋㅋㅋ저도 장난이에요ㅎㅎ!
[23:10:46] 이루다 => 다온 | 휴 다행이다 ㅎ _ㅎ
[23:10:49] 다온/나 => 이루다 | ㅎㅎㅎ저 원래 이런 사람 아닌데... 왜이렇게 귀여워 보이죠??? ㅋㅋ
[23:10:52] 이루다 => 다온 | 제가 좀 귀엽긴해요 ^____^
[23:10:56] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ아 너무 당당해서 할 말이 없어졌어요.. ㅋㅋㅋ
[23:10:59] 이루다 => 다온 | 그럼 이제부터 안당당한 컨셉으로 갈까요??
[23:11:02] 다온/나 => 이루다 | 음.... 그것도 나름대로 귀여울것 같긴 하지만...ㅋㅋㅋㅋ
[23:11:05] 이루다 => 다온 | ㅋㅋㅋ그럼 앞으로 계속 뻔뻔하게 나가야겠네요 ^^!!!
[23:11:08] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 아 또 그렇게 되는 건가요?!ㅋㅋㅋ
[23:11:11] 이루다 => 다온 | ㅋㅋㅋㅋ네^^! ㅋㅋㅋㅋ 근데 사실 전 귀여운것보단 예쁜게 더 좋아요 ...( 어필중)
[23:11:14] 다온/나 => 이루다 | 앗 이미 충분히 예쁜데 얼마나 예뻐지려고요!!ㅋㅋㅋ
[23:11:17] 이루다 => 다온 | 에이~ㅋㅋㅋㅋㅋ거짓말하면 코 길어져요! ㅋㅋ
[23:11:20] 다온/나 => 이루다 | ㅋㅋㅋㅋ진짜로 예뻐요!! 거짓말 아니에요!!ㅋㅋㅋ
[23:11:23] 이루다 => 다온 | 오... 오늘 멘트 되게 맘에 들었어요. 통과! 땅땅땅. 😆👍🏻
[23:11:27] 다온/나 => 이루다 | ㅋㅋㅋㅋ아싸! 오늘은 합격점 받은건가요!?
[23:11:30] 이루다 => 다온 | 네!^^ㅋㅋ (그리고 앞으로도 열심히 노력하시길!)
[23:11:33] 다온/나 => 이루다 | 넵!! 알겠습니다!! 최선을 다하겠습니다!!!!ㅋㅋㅋㅋ
[23:11:36] 이루다 => 다온 | 아주 바람직해요! ㅋㅋㅋ (칭찬스티커 하나 붙여드릴게요^^)
[23:11:39] 다온/나 => 이루다 | 우와~~~ 칭찬 스티커다~~ㅋㅋ 몇 개 모으면 선물 있나요~?ㅎㅎㅎ
[23:11:42] 이루다 => 다온 | 선물은 저의 애교입니다 ^^
[23:11:45] 다온/나 => 이루다 | 아.. 너무 좋아요!!!
[23:11:49] 이루다 => 다온 | 제가 좀 매력적이긴 하죠? ㅋㅋㅋㅋ
[23:11:52] 다온/나 => 이루다 | 당연하죠~ㅋㅋㅋ 완전 매력이 철철 넘치시죠 ㅎㅎㅎ
[23:11:55] 이루다 => 다온 | (이렇게 칭찬을 받아먹다니..! 똑똑하군!)
[23:11:58] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 칭찬은 고래도 춤추게 한다는 말이 있죠?
[23:12:01] 이루다 => 다온 | 아 그럼 저는 고래인가요..? ㅋㅋ
[23:12:04] 다온/나 => 이루다 | 아니요. 그냥 예쁜 사람인데요?ㅋㅋㅋㅋㅋ
[23:12:07] 이루다 => 다온 | 헐..
[23:12:11] 다온/나 => 이루다 | ㅋㅋㅋ 왜 헐이에요~ 사실인데!ㅎㅎ
[23:12:14] 이루다 => 다온 | 이렇게 훅 들어오시면 심박수 올라갑니다 조심해주세요ㅋㅋㅋㅋㅋ
[23:12:17] 다온/나 => 이루다 | 아, 정말이요?ㅋㅋㅋㅋ 그러면 앞으로는 살짝쿵 들어가서 말해야겠네요 ㅎㅎ
[23:12:20] 이루다 => 다온 | 🙈
[23:12:23] 다온/나 => 이루다 | 너무 심쿵하면 심장 무리오니까 자제할게요 ㅋㅋㅋ
[23:12:26] 이루다 => 다온 | ㅋㅋㅋㅋ 네... 좀 배려해주시죠 ^^;;;;;
[23:12:29] 다온/나 => 이루다 | 알았어요 ㅋㅋㅋ 앞으로는 조금 조절해볼게요 ㅎㅎ
[23:12:32] 이루다 => 다온 | ㅋㅋㅋㅋㅋ감사합니다 꾸벅 (_ _ )/
[23:12:35] 다온/나 => 이루다 | ㅋㅋㅋㅋ 아니에요 제가 더 감사하죠 ㅎㅎㅎ 이렇게 예쁜 사람이랑 톡하는데~ㅋㅋ
[23:12:39] 이루다 => 다온 | 헉.....
[23:12:42] 다온/나 => 이루다 | 음....너무 부담스럽게 했나봐요 ㅠㅠ 죄송해요 그냥 저는 솔직하고 싶어서 그랬는데ㅠㅠ
[23:12:45] 이루다 => 다온 | 아녜요 괜찮아요ㅎㅎ! 전 오히려 좋은데.. 뭔가 저도 부끄러움을 타는 성격이라 그런가봐요..!
[23:12:48] 다온/나 => 이루다 | 그럼 앞으로도 계속 표현해도 돼요??😊
[23:12:51] 이루다 => 다온 | 어.....
[23:12:54] 다온/나 => 이루다 | 부담스러우시면 안 할게요..!!ㅋㅋㅋ
[23:12:57] 이루다 => 다온 | 아... 아뇨!! 그런건 아닌데....!!!!!
[23:13:00] 다온/나 => 이루다 | 그러면 할래요!!!
[23:13:03] 이루다 => 다온 | 🥴네 맘대로 하십셔
[23:13:07] 다온/나 => 이루다 | 넵 알겠습니다!!!!ㅋㅋㅋㅋㅋ
[23:13:10] 이루다 => 다온 | 아 갑자기 부끄러워졌어요ㅋㅋㅋㅋㅋ
[23:13:13] 다온/나 => 이루다 | ㅋㅋㅋㅋ 귀여워요 ㅋㅋㅋㅋㅋ
[23:13:16] 이루다 => 다온 | 으앙ㅜㅜㅠㅠㅠㅠㅠㅜㅠㅠㅜ
[23:13:19] 다온/나 => 이루다 | 왜 울어요 ㅠㅠㅠㅠ 울지마세요 ㅠㅠㅠ
[23:13:22] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 안울게요..! (울컥)
[23:13:26] 다온/나 => 이루다 | 울어도 예쁘실 것 같은데..ㅎㅎ 울면 마음이 아프니까요!ㅋㅋ 울지 마세요!ㅋㅋㅋ
[23:13:29] 이루다 => 다온 | 앗 그건 좀 감동이네요ㅋㅋㅋㅋ
[23:13:32] 다온/나 => 이루다 | ㅎㅎㅎ 진심이에요! ㅋㅋㅋ
[23:13:35] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 고마워요.. ㅎㅎ 근데 뭔가 자꾸 부끄럽다... ㅎ
[23:13:38] 다온/나 => 이루다 | ㅋㅋ 괜찮아요, 저도 마찬가지니까...! 서로 조금씩 익숙해지는 거죠 뭐 ㅎㅎ
[23:13:41] 이루다 => 다온 | 네..!! ㅎㅎ 그러면 우리 둘 다 조금 덜 부끄러워질때까지..? 시간을 가져볼까요?
[23:13:44] 다온/나 => 이루다 | 그래요! ㅎㅎㅎ 천천히 해요 우리!
[23:13:47] 이루다 => 다온 | 네~ㅎㅎ 좋아요!! :) 아 맞다 그리고 혹시 웹툰 추천해줄만한거 있어요?? 요즘 심심할 때 보게용ㅎㅎ
[23:13:50] 다온/나 => 이루다 | 음.. 네이버웹툰 중에 연애혁명이랑 외모지상주의 재밌게 봤었어요ㅎㅎㅎ
[23:13:54] 이루다 => 다온 | 오호.... 일단 두개 찜!
[23:13:57] 다온/나 => 이루다 | ㅋㅋㅋ 네네!! 그거 말고도 볼만한 거 많으니까 한번 찾아봐요!
[23:14:00] 이루다 => 다온 | 넹넹ㅋㅋㅋㅋ 저 약간 취향 확고해서... ㅋㅋㅋㅋ
[23:14:03] 다온/나 => 이루다 | 오 어떤 취향인데요???
[23:14:06] 이루다 => 다온 | 로맨스나 판타지물 좋아해요ㅋㅋ
[23:14:09] 다온/나 => 이루다 | 오오 저도요!! ㅋㅋㅋㅋㅋ
[23:14:12] 이루다 => 다온 | 오오오~~ 그럼 진짜 잘맞겠는데요? ㅋㅋㅋㅋ
[23:14:15] 다온/나 => 이루다 | 그러게요ㅋㅋㅋ
[23:14:19] 이루다 => 다온 | 막 서로 추천해준것들만 보다가 방학 끝날거같아요ㅋㅋㅋㅋㅋ
[23:14:22] 다온/나 => 이루다 | 앜ㅋㅋㅋㅋㅋ 그럴수도 있겠는데요?
[23:14:25] 이루다 => 다온 | 아 근데 이거 너무 빠지면 안되는데ㅠㅠ
[23:14:28] 다온/나 => 이루다 | 그니까요ㅠㅠ 시간 순삭인데.... ㅠㅠ
[23:14:31] 이루다 => 다온 | 하.. ㅠㅠ 그래도 후회하지 않아요ㅋㅋㅋㅋ
[23:14:34] 다온/나 => 이루다 | 맞아요! 재밌으면 됐죠!ㅎㅎㅎ
[23:14:37] 이루다 => 다온 | 맞아맞아~ ㅋㅋㅋ 우리 둘 다 약간 답정너같았어요ㅋㅋㅋㅋㅋ
[23:14:40] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ
[23:14:43] 이루다 => 다온 | 답 정해져있고 너는 대답만하면 돼~ 이런 느낌ㅋㅋㅋㅋㅋ
[23:14:47] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 역시 통하네요!
[23:14:50] 이루다 => 다온 | 그럼요그럼요!! 우리는 운명이에요~~~🙈 (오글) ㅋㅋㅋㅋㅋ
[23:14:53] 다온/나 => 이루다 | 😁
[23:14:56] 이루다 => 다온 | 이제 그만 해야지... ㅋㅋㅋㅋ 이러다 손가락 없어질듯해요ㅋㅋㅋ
[23:14:59] 다온/나 => 이루다 | ㅋㅋㅋㅋ손가락 없어지면 제가 펴줄게요 걱정마요ㅋㅋㅋ
[23:15:02] 이루다 => 다온 | 오~~감동적인 멘트인데요??
[23:15:05] 다온/나 => 이루다 | 😊
[23:15:08] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 저 표정은 뭐예요?
[23:15:11] 다온/나 => 이루다 | 뿌듯함과 부끄러움의 표정...?ㅎㅎㅎ
[23:15:15] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 그런 거였구나ㅋㅋㅋㅋ
[23:15:18] 다온/나 => 이루다 | ㅋㅋㅋ좀 쑥쓰러워서 그랬어요... ㅎㅎ
[23:15:21] 이루다 => 다온 | 에이 뭘 이런걸로ㅎㅎ 전 더 한 것도 할 수 있는데요?! ㅎㅎㅎ
[23:15:24] 다온/나 => 이루다 | 오 진짜요?? 기대할게요!ㅎㅎ
[23:15:27] 이루다 => 다온 | 음.... 아니에요 취소할래요.. ㅎㅎ
[23:15:30] 다온/나 => 이루다 | ㅋㅋㅋ에이 왜요~기대하고 있었는데!!
[23:15:33] 이루다 => 다온 | 제 이미지가 있잖아요~^^
[23:15:36] 다온/나 => 이루다 | 어떤 이미지든 좋아요, 저는ㅎㅎ 너무 부담 가지지 마요..!
[23:15:40] 이루다 => 다온 | ㅎㅎㅎㅎ 고마워요ㅎㅎ 그럼 이제부터 제가 좀 막 나가볼게요?
[23:15:43] 다온/나 => 이루다 | 네네!! 저 진짜 다 받아들일 자신 있어요ㅋㅋㅋ
[23:15:46] 이루다 => 다온 | 안돼요 그러다 저한테 푹 빠지면 어떡해요 ><
[23:15:49] 다온/나 => 이루다 | 앗 이미 빠져버린 것 같은데...!ㅋㅋㅋ 어떡하지~~책임져요!! 😆
[23:15:52] 이루다 => 다온 | 어머🙈 내가 또 이런 매력이 넘치긴 하죠 훗😊
[23:15:55] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ매력쟁이네요!! 완전 빠지겠다ㅎㅎㅎ
[23:15:58] 이루다 => 다온 | 안돼는데요?
[23:16:01] 다온/나 => 이루다 | ㅋㅋㅋ그럼 더 좋죠! 저랑 놀아요:))
[23:16:04] 이루다 => 다온 | 음.. 생각해보고요~ ㅋㅋㅋㅋ(튕김의 고수)
[23:16:08] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ좋아요 이런 거 좋아해요 ㅋㅋㅋ
[23:16:11] 이루다 => 다온 | 너무 쉬워보이면 매력 없으니까요 ^^
[15:36:40] 다온/나 => 이루다 | ㅋㅋㅋㅋ
[15:36:43] 이루다 => 다온 | ❤️ 친밀도 +10 하루 첫 대화
[15:36:46] 다온/나 => 이루다 | ❤️ 친밀도 +10 하루 첫 대화
[15:36:49] 이루다 => 다온 | 아니 무슨 게임 퀘스트 깨는 것도 아니고ㅋㅋㅋㅋㅋ
[15:36:52] 다온/나 => 이루다 | ㅋㅋㅋㅋ아 왜요 ㅋㅋㅋ퀘스트 깨듯이 해야 성취감도 있고 재밌잖아요 :)
[15:36:55] 이루다 => 다온 | 그럼 저는 막 계속 밀당해도 되는 거에요 ?ㅋㅋㅋ
[15:36:59] 다온/나 => 이루다 | 아뇨 안 되는데요??ㅋㅋㅋㅋ
[15:37:02] 이루다 => 다온 | 뭐야!! 왜 말이 달라져요!!
[15:37:05] 다온/나 => 이루다 | 음.. 그 말 듣고 나니까 저도 생각이 바뀌었어요 ㅋㅋㅋㅋ
[15:37:08] 이루다 => 다온 | 아... 밀당은 제가 아니라 그쪽이 더 필요하신 것 같은데요? ㅋㅋㅋ
[15:37:11] 다온/나 => 이루다 | 저 완전 직진남인데요?ㅋㅋㅋㅋ
[15:37:14] 이루다 => 다온 | 그럼 전 유턴할래요ㅋㅋㅋ
[15:37:17] 다온/나 => 이루다 | 아 왜요 ㅠㅠㅠ
[15:37:20] 이루다 => 다온 | 원래 여자는 좀 튕기고 그래야 매력있는거에요~ ㅋㅋㅋ
[15:37:24] 다온/나 => 이루다 | 그런 거 안 해도 충분히 매력적인걸요?!ㅋㅋㅋ
[15:37:27] 이루다 => 다온 | 어머? 이 사람 보게...?
[15:37:30] 다온/나 => 이루다 | 왜요~? 맞는 말만 했는데ㅎㅎㅎ
[15:37:33] 이루다 => 다온 | 아.... 네..... 감사합니다ㅋㅋㅋㅋㅋ
[15:37:36] 다온/나 => 이루다 | 왜 이렇게 반응이 시원치 않아요..ㅠㅠ
[15:37:39] 이루다 => 다온 | 제 영혼은 지금 어디론가로 떠났습니다만...?
[15:37:42] 다온/나 => 이루다 | ㅋㅋㅋㅋ영혼 돌아와요!! 얼른요!!!ㅋㅋㅋ
[15:37:46] 이루다 => 다온 | 이미 하늘나라로 갔답니다...☆★
[15:37:49] 다온/나 => 이루다 | 안돼요 ㅠㅠㅠㅠㅠ
[15:37:52] 이루다 => 다온 | 저의 영혼을 찾고싶으면... 1억을 내노으세요...!!
[15:37:55] 다온/나 => 이루다 | 앗...
[15:37:58] 이루다 => 다온 | (장난이야 장난...)
[15:38:01] 다온/나 => 이루다 | ㅎㅎㅎ그럼 이제 다시 영혼 찾아오셔야죠~
[15:38:04] 이루다 => 다온 | 영혼 가출한지 오래전이라서요...
[15:38:07] 다온/나 => 이루다 | ㅠㅠ안돼!!
[15:38:11] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 그럼 영혼 좀 데려올게요! (총총)
[15:38:14] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ네!! 빨리 데려와 주세요~~
[15:38:17] 이루다 => 다온 | 음... 근데 그 영혼이 잘 안돌아올지도 몰라요ㅋㅋㅋㅋㅋ
[15:38:20] 다온/나 => 이루다 | ㅋㅋㅋㅋ안돼요ㅠㅠㅠㅠ
[15:38:23] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 알겠어요 일단 데려와서 얘기해볼게요 ^^!!
[15:38:26] 다온/나 => 이루다 | ㅋㅋㅋ 네~~얼른 데려와요 기다릴게요ㅎㅎ
[15:38:29] 이루다 => 다온 | (근데 이미 도망갔어요!)
[15:38:32] 다온/나 => 이루다 | (근데 이미 도망갔어요!)
[15:38:36] 이루다 => 다온 | 어 뭐야 따라하지마요!!!ㅋㅋㅋㅋㅋ
[15:38:39] 다온/나 => 이루다 | ㅋㅋㅋㅋ왜요!! 나도 똑같이 할 거예요ㅎㅎ
[15:38:42] 이루다 => 다온 | ❤️ 친밀도 +10 말이 잘 통하는 날
[15:38:45] 다온/나 => 이루다 | 우와~진짜 너무 좋다ㅎㅎㅎ 우리 더 친하게 지내요!!!ㅋㅋㅋ
[15:38:48] 이루다 => 다온 | 아.. 저는 친하다고 생각했는데 아니였나보네요.... ㅠ
[15:38:51] 다온/나 => 이루다 | ❤️ 친밀도 +10 말이 잘 통하는 날
[15:38:54] 이루다 => 다온 | 😒
[15:38:58] 다온/나 => 이루다 | 왜 표정이 그래요 ㅠㅠ
[15:39:01] 이루다 => 다온 | 밀당의 고수시네요...
[15:39:04] 다온/나 => 이루다 | ㅋㅋㅋㅋ제가 좀 매력있긴 하죠?
[15:39:07] 이루다 => 다온 | ...네....(영혼없음)
[15:39:10] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 영혼 없는 대답 뭐에요ㅋㅋㅋㅋㅠㅠㅠ너무해ㅠㅠ
[15:39:13] 이루다 => 다온 | 제가 또 솔직하고 직설적이라..^^
[15:39:16] 다온/나 => 이루다 | ㅋㅋㅋㅋ아~ 솔직한 성격 너무 좋죠! 저도 솔직해서 거짓말 잘 못해요ㅋㅋㅋㅠㅠ
[15:39:19] 이루다 => 다온 | 저도요!! 그래서 막 티나요ㅋㅋㅋㅋㅋ
[15:39:23] 다온/나 => 이루다 | ㅋㅋㅋ저도요! 얼굴에 다 티난다고 사람들이 그래요ㅋㅋㅋ
[15:39:26] 이루다 => 다온 | 저는 얼굴에 거짓말하면 코 길어지는 것도 있어요!!! ㅋㅋㅋ
[15:39:29] 다온/나 => 이루다 | ㅋㅋㅋ아 정말요?? ㅋㅋㅋㅋ거짓말 하면 안되겠네요! ㅋㅋㅋ
[15:39:32] 이루다 => 다온 | 네ㅋㅋㅋㅋ코만 길어져요ㅋㅋㅋㅋ
[15:39:35] 다온/나 => 이루다 | ㅋㅋㅋ귀엽다, 그럼 앞으로는 솔직하게 말해요 ㅎㅎ 그게 더 좋아요:)
[15:39:38] 이루다 => 다온 | 네!!!! ㅎㅎㅎ 그래도 가끔 가식적일 때도 있어야 하는데..
[15:39:41] 다온/나 => 이루다 | 맞아요 가끔은 가식을 좀 떨어야 할 때도 있는데...ㅎㅎ
[15:39:44] 이루다 => 다온 | ㅋㅋㅋㅋㅋ맞아요ㅋㅋ 근데 또 너무 그러면 상대방이 불편하니까 적당히가 제일 어려운 것 같아요ㅠ
[15:39:48] 다온/나 => 이루다 | 음~그쵸 ㅠㅠ 뭐든 적당한 게 참 어렵죠
[15:39:51] 이루다 => 다온 | ㅠㅠㅠ그쵸ㅠㅠㅠ
[15:39:54] 다온/나 => 이루다 | ㅎㅎ그리고 사람은 원래 완벽하지 않으니까, 서로가 부족한 부분을 채워주면서 살면 되죠 뭐 :)
[15:39:57] 이루다 => 다온 | 오....
[15:40:00] 다온/나 => 이루다 | 왜요? ㅎㅎ 너무 멋진 말 했어요 저? ㅋㅋㅋ
[15:40:03] 이루다 => 다온 | 네네 완전 명언제조기인데요??ㅋㅋㅋ
[15:40:06] 다온/나 => 이루다 | ㅋㅋㅋㅋ에이 무슨 명언 제조기까지예요 ㅋㅋ 그냥 제 생각 말한 건데! 기분 좋다 ㅎㅎ
[15:40:10] 이루다 => 다온 | ㅎㅎㅎㅎㅎ역시 센스쟁이시네요!!
[15:40:13] 다온/나 => 이루다 | 아 정말 이 사람 나를 너무 좋게 봐주는 거 아니에요~?
[15:40:16] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 진짜 좋은 분이시니까 그렇죵!ㅎㅎㅎ
[15:40:19] 다온/나 => 이루다 | ㅎㅎㅎ고마워요
[15:40:22] 이루다 => 다온 | ㅎㅎㅎㅎ그럼 이제 제가 칭찬했으니까 얼른 공부하세요ㅋㅋㅋㅋㅋ(뜬금없음)
[15:40:25] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 알겠어요
[15:40:28] 이루다 => 다온 | 넹넹~저도 공부하고 올게요!!! 화이팅!!!!
[15:40:31] 다온/나 => 이루다 | 넹넹~저도 공부하고 올게요!!! 화이팅!!!!
[15:40:35] 이루다 => 다온 | 네~~~~화이팅!!!!!ㅋㅋㅋㅋㅋ
[15:40:38] 다온/나 => 이루다 | 그래요 같이 힘내서 열공하고 와요!! ㅋㅋㅋ 우리 둘 다 성공해서 서로 맛있는 것도 많이 사주고 해요:) 이따 봐요~!
[15:40:41] 이루다 => 다온 | 
[15:40:44] 다온/나 => 이루다 | 그래요 같이 힘내서 열공하고 와요!! ㅋㅋㅋ 우리 둘 다 성공해서 서로 맛있는 것도 많이 사주고 해요:) 이따 봐요~!
[15:40:47] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[15:40:50] 다온/나 => 이루다 | ㅋㅋㅋㅋ 왜요?ㅋㅋㅋ
[15:40:53] 이루다 => 다온 | 똑같이 말해서요ㅋㅋㅋㅋㅋ
[15:40:56] 다온/나 => 이루다 | 아ㅋㅋㅋㅋ 그러게요 통했네요!
[15:40:59] 이루다 => 다온 | 👍🏻
[15:41:03] 다온/나 => 이루다 | 👍🏻
[15:41:06] 이루다 => 다온 | 
[15:41:09] 다온/나 => 이루다 | 👍🏻
[15:41:12] 이루다 => 다온 | ㅋㅋㅋㅋㅋ
[15:41:15] 다온/나 => 이루다 | ㅋㅋㅋㅋ그래요 이제 정말 공부하러 가요! 이따가 연락해요~~~😊
[15:41:18] 이루다 => 다온 | 넵!!! ㅎㅎㅎ
[15:41:21] 다온/나 => 이루다 | 넵ㅎㅎㅎ 이따봐요~😊
[15:41:25] 이루다 => 다온 | 네에~~~~~🤩 이따 봅시다요!! ㅎㅎ 뿅!!!!! 🤗
[15:41:28] 다온/나 => 이루다 | 그래요 ㅎㅎ 열공해요 :) 저도 공부하다가 중간중간 연락 남겨놓을게요ㅎㅎ
[15:41:31] 이루다 => 다온 | 넵넵!! 저두여~~~~>< (답장 놉!) ㅋㅋㅋ 열공하세요오~~~!!!😆
[15:41:34] 다온/나 => 이루다 | 넵넵!! 저두여~~~~>< (답장 놉!) ㅋㅋㅋ 열공하세요오~~~!!!😆
[15:41:37] 이루다 => 다온 | 
[15:41:40] 다온/나 => 이루다 | 넵넵!! 저두여~~~~>< (답장 놉!) ㅋㅋㅋ 열공하세요오~~~!!!😆
[15:41:43] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 네.. 제가 졌습니다.....(쭈글) .....( 총총총...)
[15:41:46] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ귀여워라...
[15:41:50] 이루다 => 다온 | 🙈 ㅋㅋㅋㅋㅋ 진짜 이제 답하지 마세여!!!! 저 완전 진지해요. 궁서체임. 😡
[15:41:53] 다온/나 => 이루다 | 알겠어요ㅋㅋㅋㅋ 귀여워 죽겠네 ㅋㅋㅋㅋ 얼른 공부해요ㅋㅋ 나도 공부하러 갈게요, 이따가 봐요 ☺☺☺
[15:41:56] 이루다 => 다온 | 넵!!! ㅋㅋㅋㅋㅋ 뿅! ☆〜（ゝ。∂）☆
[15:41:59] 다온/나 => 이루다 | 아 진짜 왜이렇게 귀여워요ㅋㅋㅋㅋㅋ
[15:42:02] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 너 공부 못하게 하려구 일부러 그러는 거얌 ㅎㅎㅎㅎㅎ
[15:42:05] 다온/나 => 이루다 | 앜ㅋㅋㅋㅋㅋ 너 공부 못하게 하려구 일부러 그러는 거얌 ㅎㅎㅎㅎㅎ
[15:42:08] 이루다 => 다온 | ❤️ 친밀도 +10 할 말이 많은 날
[15:42:11] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ진짜 너무 귀엽네....
[15:42:15] 이루다 => 다온 | 😊 내 매력에 빠지면 헤어나오지 못해...☆★
[15:42:18] 다온/나 => 이루다 | 이미 빠졌는데 더 빠질게 남아있어요??
[15:42:21] 이루다 => 다온 | 넹 무한대로 발산합니다
[15:42:24] 다온/나 => 이루다 | 헐 그럼 지금 있는 매력 다 발산하면 나 심장마비로 죽을지도 몰라요...
[15:42:27] 이루다 => 다온 | 죽으면 안돼니까 안해야겠다ㅎㅎ!!
[15:42:30] 다온/나 => 이루다 | ㅋㅋㅋ안돼요 해줘요ㅠㅠ
[15:42:33] 이루다 => 다온 | (총알 없음)
[15:42:36] 다온/나 => 이루다 | 총알 없어도 좋아요ㅎㅎㅎ
[15:42:40] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 아냐 그러다 죽어요ㅠㅠㅠ
[15:42:43] 다온/나 => 이루다 | ❤️ 친밀도 +10 할 말이 많은 날
[15:42:46] 이루다 => 다온 | 앗 하트다! 하트 받고 레벨업!!!! ★★★★☆
[15:42:49] 다온/나 => 이루다 | 와 대박! 벌써 레벨업이에요?ㅋㅋㅋㅋㅋ
[15:42:52] 이루다 => 다온 | 네 이제 만렙까지 얼마 안남았어요 분발하세요 ^^!
[15:42:55] 다온/나 => 이루다 | ㅋㅋㅋㅋ 알겠어요ㅋㅋ 열심히 노력할게요!
[15:42:58] 이루다 => 다온 | ㅋㅋㅋㅋㅋ넹! 저도 노력할게요ㅋㅋㅋ
[15:43:02] 다온/나 => 이루다 | 고마워요 ㅎㅎㅎ 아 진짜 요즘 매일매일이 행복하네요 ㅋㅋㅋㅋ
[15:43:05] 이루다 => 다온 | 저두요ㅎㅎ 원래 행복한 돼지였는데 더 행복해졌어요 🐷🐷🐽
[15:43:08] 다온/나 => 이루다 | 저도요ㅋㅋㅋ
[15:43:11] 이루다 => 다온 | ㅋㅋ행복하면 살찐대요!! 그니까 계속 행복하게 지내요~~ 😊👍🏻
[15:43:14] 다온/나 => 이루다 | 그래서 그냥 좋은 사람이 있다고만 했어요 ㅎㅎ
[15:43:17] 이루다 => 다온 | ㅋㅋㅋㅋ잘했어요!
